timesteps,win_rate,avg_reward
1024,0.0,91.0
2048,0.0,90.2
3072,0.0,85.0
4096,0.0,163.4
5120,0.2,382.6
6144,1.0,500.0
7168,1.0,500.0
8192,0.0,240.8
9216,0.4,412.0
10240,0.2,355.0
11264,0.8,495.0
12288,1.0,500.0
13312,0.6,442.4
14336,0.8,474.0
15360,1.0,500.0
16384,1.0,500.0
17408,0.2,293.6
18432,0.2,230.8
19456,0.2,226.4
20480,0.2,303.8
21504,0.6,428.4
22528,0.2,346.0
23552,0.4,318.2
24576,0.0,205.4
25600,1.0,500.0
26624,1.0,500.0
27648,1.0,500.0
28672,1.0,500.0
29696,1.0,500.0
30720,1.0,500.0
31744,1.0,500.0
32768,1.0,500.0
33792,1.0,500.0
34816,1.0,500.0
35840,1.0,500.0
36864,1.0,500.0
37888,1.0,500.0
38912,1.0,500.0
39936,1.0,500.0
40960,1.0,500.0
41984,1.0,500.0
43008,1.0,500.0
44032,1.0,500.0
45056,1.0,500.0
46080,1.0,500.0
47104,1.0,500.0
48128,1.0,500.0
49152,1.0,500.0
50176,1.0,500.0
51200,1.0,500.0
52224,1.0,500.0
53248,1.0,500.0
54272,1.0,500.0
55296,1.0,500.0
56320,1.0,500.0
57344,1.0,500.0
58368,1.0,500.0
59392,1.0,500.0
60416,1.0,500.0
61440,1.0,500.0
62464,1.0,500.0
63488,1.0,500.0
64512,1.0,500.0
65536,1.0,500.0
66560,1.0,500.0
67584,1.0,500.0
68608,1.0,500.0
69632,1.0,500.0
70656,1.0,500.0
71680,1.0,500.0
72704,1.0,500.0
73728,1.0,500.0
74752,1.0,500.0
75776,1.0,500.0
76800,1.0,500.0
77824,1.0,500.0
78848,1.0,500.0
79872,1.0,500.0
80896,1.0,500.0
81920,1.0,500.0
82944,1.0,500.0
83968,1.0,500.0
84992,1.0,500.0
86016,1.0,500.0
87040,1.0,500.0
88064,1.0,500.0
89088,1.0,500.0
90112,1.0,500.0
91136,1.0,500.0
92160,1.0,500.0
93184,1.0,500.0
94208,1.0,500.0
95232,1.0,500.0
96256,1.0,500.0
97280,1.0,500.0
98304,1.0,500.0
99328,1.0,500.0
100352,1.0,500.0
